country_name,country_iso3,country_code,long_name,income_group,lending_category,region,currency_unit
Afghanistan,AFG,004,Islamic State of Afghanistan,Low income,IDA,South Asia,Afghan afghani
Albania,ALB,008,Republic of Albania,Upper middle income,IBRD,Europe & Central Asia,Albanian lek
Algeria,DZA,012,People's Democratic Republic of Algeria,Upper middle income,IBRD,Middle East & North Africa,Algerian dinar
American Samoa,ASM,016,American Samoa,Upper middle income,NULL,East Asia & Pacific,U.S. dollar
Andorra,AND,020,NULL,Others,NULL,NULL,NULL
Angola,AGO,024,People's Republic of Angola,Lower middle income,IBRD,Sub-Saharan Africa,Angolan kwanza
Anguila,AIA,660,NULL,Others,NULL,NULL,NULL
Antarctica,ATA,010,NULL,Others,NULL,NULL,NULL
Antigua and Barbuda,ATG,028,Antigua and Barbuda,High income,IBRD,Latin America & Caribbean,East Caribbean dollar
Argentina,ARG,032,Argentine Republic,Upper middle income,IBRD,Latin America & Caribbean,Argentine peso
Armenia,ARM,051,Republic of Armenia,Upper middle income,IBRD,Europe & Central Asia,Armenian dram
Aruba,ABW,533,Aruba,High income,NULL,Latin America & Caribbean,Aruban florin
Australia,AUS,036,Commonwealth of Australia,High income,NULL,East Asia & Pacific,Australian dollar
Austria,AUT,040,Republic of Austria,High income,NULL,Europe & Central Asia,Euro
Azerbaijan,AZE,031,Republic of Azerbaijan,Upper middle income,IBRD,Europe & Central Asia,New Azeri manat
"Bahamas, The",BHS,044,Commonwealth of The Bahamas,High income,NULL,Latin America & Caribbean,Bahamian dollar
Bahrain,BHR,048,Kingdom of Bahrain,High income,NULL,Middle East & North Africa,Bahraini dinar
Bangladesh,BGD,050,People's Republic of Bangladesh,Lower middle income,IDA,South Asia,Bangladeshi taka
Barbados,BRB,052,Barbados,High income,NULL,Latin America & Caribbean,Barbados dollar
Belarus,BLR,112,Republic of Belarus,Upper middle income,IBRD,Europe & Central Asia,Belarusian rubel
Belgium,BEL,056,Kingdom of Belgium,High income,NULL,Europe & Central Asia,Euro
Belgium-Luxembourg,BLX,058,NULL,Others,NULL,NULL,NULL
